,S.No,actual,pred,alive,plod,name,title,male,culture,dateOfBirth,DateoFdeath,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive
1101,1102,1,0,0.052000000000000005,0.948,Hugo Wull,Big BucketThe Wull,1,Northern mountain clans,,,,,,House Wull,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0367892976588628,1
1102,1103,1,0,0.17,0.83,Hugor of the Hill,King of the Andals,1,Andals,,,,,,,,0,0,0,0,1,,,,,0,1,,0,0,0,0.0501672240802675,1
1103,1104,1,1,0.976,0.024,Hugo Vance,Ser,1,,,,,,,House Vance of Atranta,,0,0,1,1,0,,,,,0,1,,0,0,0,0.0267558528428093,1
1104,1105,0,0,0.284,0.716,Hullen,Winterfell,1,Northmen,,298.0,,,,House Stark,,1,1,1,0,1,,,,,0,1,,0,0,0,0.060200668896321,0
1105,1106,0,1,0.603,0.397,Humfrey Beesbury,Ser,1,,,209.0,,,,House Beesbury,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0267558528428093,0
1106,1107,0,0,0.18100000000000002,0.8190000000000001,Humfrey Hardyng,Ser,1,,,209.0,,,,House Hardyng,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0535117056856187,0
1107,1108,1,1,0.998,0.002,Humfrey Swyft,Ser,0,,,,,,,House Swyft,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0100334448160535,1
1108,1109,1,1,0.9840000000000001,0.016,Humfrey Wagstaff,Ser,0,,230.0,,,,,House Wagstaff,,0,0,0,1,0,,,,,0,1,75.0,0,0,0,0.0167224080267558,1
1109,1110,1,1,0.68,0.32,Igon Vyrwel,,0,,,,,,,House Vyrwel,,1,1,1,1,1,,,,,0,0,,0,0,0,0.0267558528428093,1
1110,1111,1,0,0.261,0.7390000000000001,Jacks,,0,northmen,,,,,,House Stark,,1,1,1,1,0,,,,,0,0,,0,0,0,0.0334448160535117,1
1111,1112,1,1,0.591,0.409,Janei Lannister,,0,,296.0,,,,,House Lannister,,1,1,1,1,1,,,,,0,0,9.0,0,0,0,0.10033444816053501,1
1112,1113,1,1,0.809,0.191,Jammos Frey,Ser,1,,266.0,,,,,House Frey,Sallei Paege,0,1,1,1,1,,,,1.0,1,1,39.0,0,0,0,0.0903010033444816,1
1113,1114,1,1,0.7809999999999999,0.21899999999999997,Janna Tyrell,,0,,,,,,,House Tyrell,Jon Fossoway,1,1,1,1,1,,,,1.0,1,0,,0,0,0,0.177257525083612,1
1114,1115,0,0,0.021,0.9790000000000001,Jaremy Rykker,First Ranger,1,,,298.0,,,,Night's Watch,,1,1,1,0,1,,,,,0,1,,0,0,0,0.060200668896321,0
1115,1116,0,1,0.713,0.287,Jarl,,1,Free Folk,,299.0,,,,,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0501672240802675,0
1116,1117,0,0,0.21100000000000002,0.789,Jason Lannister,Ser,1,,,130.0,,,,House Lannister,Johanna Lannister,0,0,0,0,0,,,,1.0,1,1,,0,0,0,0.0468227424749163,0
1117,1118,1,0,0.402,0.598,Jasper Arryn,Eyrie,1,,,,,,,House Arryn,,0,0,0,1,0,,,,,0,1,,1,1,0,0.0434782608695652,1
1118,1119,1,1,0.825,0.175,Jasper Redfort,Ser,0,Valemen,,,,,,House Redfort,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0234113712374581,1
1119,1120,1,1,0.726,0.27399999999999997,Jeren,,1,,,,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,,0,0,0,0.020066889632107,1
1120,1121,0,0,0.223,0.777,Jeyne Arryn,Eyrie,0,Vale,,134.0,,,,House Arryn,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0334448160535117,0
1121,1122,1,0,0.40399999999999997,0.596,Jeyne Beesbury,,0,,,,,,,House Beesbury,Rhaegar Frey,0,1,1,1,0,,,,0.0,1,0,,0,0,0,0.060200668896321,1
1122,1123,1,0,0.06,0.94,Jeyne Darry,,1,Westeros,,,,,,House Darry,Cleos Frey,0,0,1,1,0,,,,0.0,1,0,,0,0,0,0.0769230769230769,1
1123,1124,1,1,0.904,0.096,Jeyne Goodbrook,,0,,293.0,,,,,House Goodbrook,,0,1,1,1,0,,,,,0,0,12.0,0,0,0,0.0635451505016722,1
1124,1125,1,1,0.8170000000000001,0.183,Jeyne Rivers,,0,,,,,,,House Frey,,0,1,1,1,1,,,,,0,0,,0,0,0,0.020066889632107,1
1125,1126,1,1,0.6970000000000001,0.303,Jeyne Lydden,,0,,,,,,,House Lydden,Stevron Frey,0,1,1,1,0,,,,0.0,1,0,,0,0,0,0.10033444816053501,1
1126,1127,0,1,0.725,0.275,Joffrey Lonmouth,Ser,1,,99.0,114.0,,,,House Lonmouth,,0,0,0,0,0,,,,,0,1,15.0,0,0,0,0.0234113712374581,0
1127,1128,0,0,0.01,0.99,Joffrey Caswell,Bitterbridge,1,,190.0,,,,,House Caswell,,0,0,0,0,0,,,,,0,1,100.0,0,0,0,0.0234113712374581,0
1128,1129,1,1,0.98,0.02,Jon Bettley,Ser,0,,,,,,,House Bettley,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0167224080267558,1
1129,1130,1,1,0.767,0.233,Jon Brax,,0,,296.0,,,,,House Brax,,0,1,1,1,0,,,,,0,0,9.0,0,0,0,0.11371237458193902,1
1130,1131,1,1,0.9790000000000001,0.021,Jon Lynderly,Lord of the Snakewood,0,,,,,,,House Lynderly,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0234113712374581,1
1131,1132,1,1,0.997,0.003,Jon Myre,,0,Ironborn,,,,,,House Myre,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0234113712374581,1
1132,1133,1,1,0.767,0.233,Jon Redfort,Ser,0,Valemen,,,,,,House Redfort,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0234113712374581,1
1133,1134,1,1,0.7509999999999999,0.249,Jon Wylde,Ser,1,,,,,,,House Wylde,Elyana Vypren,0,1,1,1,0,,,,1.0,1,1,,0,0,0,0.160535117056856,1
1134,1135,1,1,0.982,0.018000000000000002,Jonos Stark,King in the North,1,Northmen,,,,,,House Stark,,0,1,0,0,0,,,,,0,1,,0,0,0,0.0100334448160535,1
1135,1136,1,1,0.8340000000000001,0.166,Jonos Frey,,0,,291.0,,,,,House Frey,,0,1,1,1,0,,,,,0,0,14.0,0,0,0,0.0535117056856187,1
1136,1137,1,0,0.264,0.736,Jonnel Stark,Winterfell,1,,,,,,,House Stark,Robyn Ryswell,0,1,0,0,0,,,,1.0,1,1,,0,0,0,0.127090301003344,1
1137,1138,1,0,0.086,0.914,Joramun,King-Beyond-the-Wall,1,Free Folk,,,,,,,,0,1,1,0,0,,,,,0,1,,0,0,0,0.0635451505016722,1
1138,1139,1,1,0.986,0.013999999999999999,Jorah Stark,King in the North,1,Northmen,,,,,,House Stark,,0,1,0,0,0,,,,,0,1,,0,0,0,0.0100334448160535,1
1139,1140,0,0,0.384,0.616,Jonothor Darry,Ser,1,,,283.0,,,,House Darry,,0,0,1,1,0,,,,,0,1,,1,1,0,0.0468227424749163,0
1140,1141,1,1,0.823,0.177,Jorelle Mormont,,0,Northmen,278.0,,,,,House Mormont,,0,0,0,1,1,,,,,0,0,27.0,0,0,0,0.040133779264214,1
1141,1142,1,1,0.9940000000000001,0.006,Jyana,,0,Crannogmen,,,,,,House Reed,Howland Reed,0,0,0,1,1,,,,1.0,1,0,,0,0,0,0.020066889632107,1
1142,1143,1,1,0.6759999999999999,0.324,Joy Hill,,0,,288.0,,,,,House Lannister,,1,1,1,1,1,,,,,0,0,17.0,0,0,0,0.103678929765886,1
1143,1144,1,1,0.765,0.235,Jyanna Frey,,0,,,,,,,House Frey,Benfrey Frey,0,1,1,1,0,,,,0.0,1,0,,0,0,0,0.0501672240802675,1
1144,1145,0,1,0.633,0.36700000000000005,Kaeth,Grand Maester,1,,175.0,257.0,,,,,,0,0,1,1,0,,,,,0,1,82.0,0,0,0,0.260869565217391,0
1145,1146,1,1,0.986,0.013999999999999999,Jynessa Blackmont,,0,Dornish,,,,,,House Blackmont,,0,0,1,1,0,,,,,0,0,,0,0,0,0.020066889632107,1
1146,1147,1,1,0.915,0.085,Karlon Stark,Karl's Hold,1,Northmen,,,,,,House Stark,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0167224080267558,1
1147,1148,1,1,0.7959999999999999,0.204,Kedge Whiteye,,1,,251.0,,,,,Night's Watch,,0,1,1,1,1,,,,,0,0,54.0,0,0,0,0.0367892976588628,1
1148,1149,1,1,0.677,0.32299999999999995,Kennos of Kayce,Ser,1,,,,,,,House Kenning of Kayce,,0,0,1,1,1,,,,,0,1,,0,0,0,0.0334448160535117,1
1149,1150,1,1,0.759,0.24100000000000002,Kezmya,Cupbearer,0,Ghiscari,,,,,,House of Pahl,,0,0,0,0,1,,,,,0,1,,0,0,0,0.0167224080267558,1
1150,1151,0,1,0.6940000000000001,0.306,Kyra,,1,,280.0,300.0,,,,House Stark,,1,1,0,1,1,,,,,0,0,20.0,0,0,0,0.0535117056856187,0
1151,1152,1,1,0.764,0.23600000000000002,Kyra Frey,,0,,262.0,,,,,House Frey,Garse Goodbrook,0,1,1,1,0,,,,1.0,1,0,43.0,0,0,0,0.0668896321070234,1
1152,1153,1,1,0.968,0.032,Lambert Turnberry,Ser,1,,,,,,,House Turnberry,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0167224080267558,1
1153,1154,0,0,0.217,0.7829999999999999,Lark,,1,Sistermen,,299.0,,,,Night's Watch,,0,1,1,0,0,,,,,0,0,,0,0,0,0.040133779264214,0
1154,1155,1,1,0.597,0.40299999999999997,Larence Snow,,1,Northmen,286.0,,,,,House Hornwood,,0,1,1,1,0,,,,,0,0,19.0,0,0,0,0.060200668896321,1
1155,1156,1,1,0.684,0.316,Larra Blackmont,Blackmont,0,Dornish,,,,,,House Blackmont,,0,0,1,1,1,,,,,0,1,,0,0,0,0.0267558528428093,1
1156,1157,1,1,0.868,0.132,Lanna Lannister,,0,,,,,,,House Lannister,Antario Jast,0,0,1,1,1,,,,1.0,1,0,,0,0,0,0.0735785953177257,1
1157,1158,1,0,0.183,0.8170000000000001,Leathers,Master-at-Arms,1,Wildling,259.0,,,,,Night's Watch,,0,0,0,0,1,,,,,0,1,46.0,0,0,0,0.0501672240802675,1
1158,1159,1,1,0.951,0.049,Left Hand Lew,,1,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0167224080267558,1
1159,1160,0,0,0.29,0.71,Leo Lefford,Golden Tooth,1,,,299.0,,,,House Lefford,,1,1,1,1,1,,,,,0,1,,0,0,0,0.0568561872909698,0
1160,1161,1,1,0.6629999999999999,0.337,Leo Blackbar,Ser,1,,,,,,,House Blackbar,Olene Tyrell,0,0,1,1,0,,,,1.0,1,1,,0,0,0,0.127090301003344,1
1161,1162,1,1,0.5589999999999999,0.441,Leona Woolfield,,0,,,,,,,House Woolfield,Wylis Manderly,0,0,0,1,1,,,,1.0,1,0,,0,0,0,0.0468227424749163,1
1162,1163,1,1,0.743,0.257,Leonette Fossoway,Lady,0,,,,,,,House Fossoway,Garlan Tyrell,0,0,1,1,1,,,,1.0,1,1,,0,0,0,0.17391304347826,1
1163,1164,1,0,0.226,0.774,Leonella Lefford,,0,,,,,,,House Lefford,Lothar Frey,0,1,1,1,0,,,,1.0,1,0,,0,0,0,0.0802675585284281,1
1164,1165,1,1,0.9790000000000001,0.021,Lester Morrigen,Lord of Crows Nest,0,,,,,,,House Morrigen,,0,0,1,1,1,,,,,0,1,,0,0,0,0.0234113712374581,1
1165,1166,1,1,0.855,0.145,Lewys the Fishwife,,0,,,,,,,House Baratheon of Dragonstone,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0,1
1166,1167,1,1,0.68,0.32,Lewys Lydden,Lord of the Deep Den,0,,,,,,,House Lydden,,1,1,1,1,1,,,,,0,1,,0,0,0,0.0367892976588628,1
1167,1168,1,1,0.754,0.24600000000000002,Leslyn Haigh,Ser,0,,,,,,,House Haigh,Perriane Frey,0,1,1,1,1,,,,1.0,1,1,,0,0,0,0.0869565217391304,1
1168,1169,1,1,0.745,0.255,Lomas Estermont,Ser,0,Stormlands,,,,,,House Estermont,,0,1,1,1,1,,,,,0,1,,0,0,0,0.0334448160535117,1
1169,1170,0,0,0.215,0.785,Lorent Marbrand,Ser,1,Westerman,,130.0,,,,House Marbrand,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0735785953177257,0
1170,1171,1,1,0.8340000000000001,0.166,Loreza Sand,,0,Dorne,293.0,,,,,House Martell,,0,0,1,1,1,,,,,0,0,12.0,1,1,0,0.107023411371237,1
1171,1172,0,1,0.5579999999999999,0.442,Lothar Mallery,Lord,0,,,298.0,,,,House Mallery,,1,0,1,0,0,,,,,0,1,,0,0,0,0.0167224080267558,0
1172,1173,1,1,0.992,0.008,Lucas Corbray,Ser,0,,,,,,,House Corbray,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0133779264214046,1
1173,1174,1,1,0.996,0.004,Lucas Codd,,0,Ironborn,,,,,,House Codd,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0234113712374581,1
1174,1175,1,1,0.726,0.27399999999999997,Luceon Frey,Septon,1,,249.0,,,,,Faith of the Seven,,0,1,1,1,1,,,,,0,0,56.0,0,0,0,0.0769230769230769,1
1175,1176,1,1,0.605,0.395,Lucias Vypren,Lord,1,,,,,,,House Vypren,Lythene Frey,0,1,1,1,1,,,,1.0,1,1,,0,0,0,0.163879598662207,1
1176,1177,1,1,0.96,0.04,Lucos Chyttering,Lord,1,,283.0,,,,,House Chyttering,,0,0,1,1,0,,,,,0,1,22.0,0,0,0,0.020066889632107,1
1177,1178,1,1,0.706,0.294,Lucion Lannister,Ser,0,,,,,,,House Lannister,,0,0,1,1,1,,,,,0,1,,0,0,0,0.0668896321070234,1
1178,1179,1,0,0.212,0.7879999999999999,Luthor Tyrell,Lord Paramount of the Mander,1,Reach,,,,,,House Tyrell,Olenna Redwyne,0,0,1,0,0,,,,1.0,1,1,,1,1,0,0.170568561872909,1
1179,1180,1,1,0.51,0.49,Lyanna Mormont,,1,Northmen,290.0,,,,,House Mormont,,0,0,0,1,1,,,,,0,0,15.0,1,1,0,0.0568561872909698,1
1180,1181,1,0,0.255,0.745,Lyessa Flint,Widow's Watch,0,Northmen,,,,,,House Flint of Widow's Watch,,0,1,1,1,1,,,,,0,1,,0,0,0,0.0367892976588628,1
1181,1182,0,0,0.086,0.914,Lyman Beesbury,Master of coin,1,,48.0,129.0,,,,House Beesbury,,0,0,0,0,0,,,,,0,1,81.0,0,0,0,0.260869565217391,0
1182,1183,1,1,0.7609999999999999,0.239,Lymond Goodbrook,Lord,1,,,,,,,House Goodbrook,,0,0,1,1,1,,,,,0,1,,0,0,0,0.0267558528428093,1
1183,1184,0,0,0.033,0.9670000000000001,Lyman Darry,Lord of Darry,0,,290.0,299.0,,,,House Darry,,1,1,0,0,0,,,,,0,1,9.0,0,0,0,0.0568561872909698,0
1184,1185,1,1,0.987,0.013000000000000001,Lymond Lychester,Castle Lychester,1,Rivermen,,,,,,House Lychester,,0,0,1,1,0,,,,,0,1,,0,0,0,0.0234113712374581,1
1185,1186,1,1,0.7390000000000001,0.261,Lymond Vikary,Ser,1,,,,,,,House Vikary,,0,1,1,1,1,,,,,0,1,,0,0,0,0.0267558528428093,1
1186,1187,1,1,0.9209999999999999,0.079,Lyonel Selmy,Ser,1,,,,,,,House Selmy,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0167224080267558,1
1187,1188,1,1,0.752,0.248,Aggo,,0,Dothraki,,,,,,House Targaryen,,1,1,1,1,1,,,,,0,0,,0,0,0,0.13377926421404598,1
1188,1189,1,1,0.797,0.203,Alys Karstark,,0,Northmen,284.0,,,,,House Karstark,Sigorn,0,0,1,1,1,,,,1.0,1,0,21.0,0,0,0,0.157190635451505,1
1189,1190,0,0,0.46299999999999997,0.537,Cleos Frey,Ser,1,,258.0,299.0,,,,House Frey,Jeyne Darry,1,1,1,1,1,,,,1.0,1,1,41.0,0,0,0,0.247491638795986,0
1190,1191,0,0,0.42100000000000004,0.579,Dontos Hollard,Ser,1,,261.0,300.0,,,,House Hollard,,1,1,1,1,0,,,,,0,1,39.0,0,0,0,0.23076923076923,0
1191,1192,0,1,0.529,0.47100000000000003,Craster,,1,Free Folk,,299.0,,,,,,0,1,1,1,1,,,,,0,0,,0,0,0,0.170568561872909,0
1192,1193,0,1,0.785,0.215,Dale Seaworth,Wraith,1,,,299.0,,,,House Seaworth,,0,1,1,1,1,,,,,0,1,,0,0,0,0.0702341137123745,0
1193,1194,1,1,0.8140000000000001,0.18600000000000003,Denys Mallister,Ser,1,,245.0,,,,,House Mallister,,1,1,1,1,1,,,,,0,1,60.0,0,0,0,0.130434782608695,1
1194,1195,1,0,0.43700000000000006,0.563,Edric Storm,,1,,287.0,,,,,House Baratheon,,1,1,1,1,1,,,,,0,0,18.0,0,0,0,0.284280936454849,1
1195,1196,1,0,0.31,0.69,Hosteen Frey,Ser,1,,249.0,,,,,House Frey,Bellena Hawick,1,1,1,1,1,,,,1.0,1,1,56.0,0,0,0,0.274247491638795,1
1196,1197,1,1,0.8809999999999999,0.11900000000000001,Lyonel Corbray,Heart's Home,1,,260.0,,,,,House Corbray,,0,0,0,1,1,,,,,0,1,45.0,0,0,0,0.0802675585284281,1
1197,1198,1,1,0.675,0.325,Lyonel Frey,Ser,0,,259.0,,,,,House Frey of Riverrun,Melesa Crakehall,0,1,1,1,1,,,,1.0,1,1,46.0,0,0,0,0.0635451505016722,1
1198,1199,0,0,0.001,0.9990000000000001,Lyonel Strong,Harrenhal,1,,,120.0,,,,House Strong,1st: unknown2nd: unknown3rd: unknown,0,0,0,0,0,,,,1.0,1,1,,0,0,0,0.334448160535117,0
1199,1200,1,1,0.726,0.27399999999999997,Lythene Frey,,0,,251.0,,,,,House Frey,Lucias Vypren,0,1,1,1,1,,,,1.0,1,0,54.0,0,0,0,0.160535117056856,1
1200,1201,1,1,0.934,0.066,Lyra Mormont,,0,Northmen,277.0,,,,,House Mormont,,0,0,0,1,1,,,,,0,0,28.0,0,0,0,0.040133779264214,1
1201,1202,1,1,0.672,0.32799999999999996,Maegelle Frey,,0,,249.0,,,,,House Frey,Dafyn Vance,0,1,1,1,0,,,,1.0,1,0,56.0,0,0,0,0.107023411371237,1
1202,1203,0,0,0.308,0.6920000000000001,Mallador Locke,Ser,1,,,299.0,,,,Night's Watch,,0,1,1,0,0,,,,,0,1,,0,0,0,0.0267558528428093,0
1203,1204,1,1,0.76,0.24,Malwyn Frey,,1,,284.0,,,,,House Frey,,0,1,1,1,0,,,,,0,0,21.0,0,0,0,0.13712374581939699,1
1204,1205,1,1,0.9890000000000001,0.011000000000000001,Manfrey Martell,Ser,0,Dornishmen,,,,,,House Martell,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0234113712374581,1
1205,1206,1,1,0.585,0.415,Margot Lannister,Starpike,0,,,,,,,House Lannister,Titus Peake,0,0,1,1,1,,,,1.0,1,1,,0,0,0,0.020066889632107,1
1206,1207,0,1,0.7120000000000001,0.28800000000000003,Maric Seaworth,Oarmaster,1,,,299.0,,,,House Seaworth,,0,1,1,1,1,,,,,0,1,,0,0,0,0.0635451505016722,0
1207,1208,1,1,0.747,0.253,Marianne Vance,,0,,262.0,,,,,House Vance,,0,1,1,1,0,,,,,0,0,43.0,0,0,0,0.103678929765886,1
1208,1209,1,0,0.099,0.9009999999999999,Mariya Darry,,0,,,,,,,House Darry,Merrett Frey,0,1,1,1,0,,,,0.0,1,0,,0,0,0,0.190635451505016,1
1209,1210,1,1,0.8170000000000001,0.183,Marissa Frey,,0,,286.0,,,,,House Frey,,0,1,1,1,0,,,,,0,0,19.0,0,0,0,0.160535117056856,1
1210,1211,1,1,0.905,0.095,Maron Martell,Prince of Dorne,1,Dornish,,,,,,House Martell,Daenerys Targaryen,0,0,0,1,1,,,,1.0,1,1,,5,1,0,0.0367892976588628,1
1211,1212,1,1,0.9390000000000001,0.061,Maron Volmark,Volmark,1,Ironborn,283.0,,,,,House Volmark,,0,0,1,1,1,,,,,0,1,22.0,0,0,0,0.0434782608695652,1
1212,1213,1,1,0.657,0.34299999999999997,Marq Rankenfell,Lord Commander of the Night's Watch,1,,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0501672240802675,1
1213,1214,1,1,0.867,0.133,Marsella Waynwood,,0,,,,,,,House Waynwood,Stevron Frey,0,1,1,1,0,,,,0.0,1,0,,0,0,0,0.0969899665551839,1
1214,1215,0,0,0.057999999999999996,0.9420000000000001,Matarys Targaryen,Prince,1,,184.0,209.0,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,25.0,0,0,0,0.10033444816053501,0
1215,1216,1,1,0.5379999999999999,0.462,Martyn Rivers,,0,,,,,,,House Frey,,1,1,1,1,1,,,,,0,0,,0,0,0,0.0301003344481605,1
1216,1217,1,0,0.483,0.517,Martyn Lannister,,1,,285.0,,,,,House Lannister,,0,1,1,1,1,,,,,0,0,20.0,5,1,0,0.13712374581939699,1
1217,1218,1,1,0.968,0.032,Marwyn Belmore,Ser,1,,,,,,,House Belmore,,0,1,1,1,0,,,,,0,1,,0,0,0,0.0234113712374581,1
1218,1219,1,1,0.745,0.255,Mathis Frey,,0,,294.0,,,,,House Frey,,0,1,1,1,0,,,,,0,0,11.0,0,0,0,0.0836120401337792,1
1219,1220,1,1,0.883,0.11699999999999999,Matthar,,1,,,,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,,0,0,0,0.0234113712374581,1
1220,1221,0,1,0.861,0.139,Mawney,,1,,,300.0,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0234113712374581,0
1221,1222,0,0,0.36,0.64,Medgar Tully,Lord Paramount of the Trident,1,Rivermen,,209.0,,,,House Tully,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0167224080267558,0
1222,1223,0,0,0.001,0.9990000000000001,Medger Cerwyn,Cerwyn,1,Northmen,,299.0,,,,House Cerwyn,,1,1,0,0,0,,,,,0,1,,1,1,0,0.0635451505016722,0
1223,1224,1,1,0.92,0.08,Megga Tyrell,,0,,286.0,,,,,House Tyrell,,0,0,1,1,1,,,,,0,0,19.0,0,0,0,0.15384615384615302,1
1224,1225,1,1,0.9940000000000001,0.006,Meldred Merlyn,Lord of Pebbleton,0,Ironborn,,,,,,House Merlyn,,0,1,1,1,1,,,,,0,1,,0,0,0,0.0234113712374581,1
1225,1226,1,1,0.643,0.35700000000000004,Melesa Crakehall,,0,,,,,,,House Crakehall,Lyonel Frey,0,1,1,1,0,,,,1.0,1,0,,0,0,0,0.0501672240802675,1
1226,1227,1,1,0.978,0.022000000000000002,Melara Crane,,0,,,,,,,House Crane,Alester Florent,0,1,1,1,0,,,,0.0,1,0,,0,0,0,0.0668896321070234,1
1227,1228,1,1,0.769,0.231,Melessa Florent,,0,,,,,,,House Florent,Randyll Tarly,0,1,1,1,0,,,,1.0,1,0,,0,0,0,0.0869565217391304,1
1228,1229,1,1,0.983,0.017,Mellara Rivers,,0,,,,,,,House Frey,,0,1,1,1,1,,,,,0,0,,0,0,0,0.0167224080267558,1
1229,1230,1,1,0.544,0.456,Melwyn Sarsfield,Ser,1,,,,,,,House Sarsfield,Shierle Swyft,0,0,1,1,0,,,,1.0,1,1,,0,0,0,0.0301003344481605,1
1230,1231,1,1,0.845,0.155,Melwys Rivers,Maester,0,,,,,,,,,0,1,1,1,1,,,,,0,1,,0,0,0,0.0234113712374581,1
1231,1232,1,1,0.98,0.02,Meredyth Crane,,0,,,,,,,House Crane,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0301003344481605,1
1232,1233,1,1,0.8170000000000001,0.183,Merianne Frey,,0,,288.0,,,,,House Frey,,0,1,1,1,0,,,,,0,0,17.0,0,0,0,0.0836120401337792,1
1233,1234,1,1,0.797,0.203,Merlon Crakehall,Ser,1,,,,,,,House Crakehall,,0,0,1,1,0,,,,,0,1,,0,0,0,0.0267558528428093,1
1234,1235,1,1,0.981,0.019,Mezzara,Cupbearer,1,Ghiscari,,,,,,House of Merreq,,0,0,0,0,1,,,,,0,1,,0,0,0,0.0167224080267558,1
1235,1236,1,1,0.9009999999999999,0.099,Mina Tyrell,,0,,,,,,,House Tyrell,Paxter Redwyne,1,1,1,1,1,,,,1.0,1,0,,0,0,0,0.163879598662207,1
1236,1237,1,1,0.784,0.21600000000000003,Moelle,Septa,0,,,,,,,Faith of the Seven,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0301003344481605,1
1237,1238,1,1,0.951,0.049,Monterys Velaryon,Lord of the Tides,1,,293.0,,,,,House Velaryon,,0,0,1,1,0,,,,,0,1,12.0,0,0,0,0.020066889632107,1
1238,1239,1,1,0.991,0.009000000000000001,Moredo Prestayn,Tradesman-Captain,1,Braavosi,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0100334448160535,1
1239,1240,0,0,0.11599999999999999,0.884,Monford Velaryon,Lord of the Tides,1,Valyrian,,299.0,,,,House Velaryon,,0,1,1,0,0,,,,,0,1,,0,0,0,0.0234113712374581,0
1240,1241,1,1,0.985,0.015,Moribald Chester,Greenshield,0,,,,,,,House Chester,,0,0,0,1,1,,,,,0,1,,0,0,0,0.020066889632107,1
1241,1242,1,1,0.723,0.27699999999999997,Morton Waynwood,Ser,1,,,,,,,House Waynwood,,1,1,1,1,1,,,,,0,1,,0,0,0,0.0367892976588628,1
1242,1243,1,1,0.753,0.247,Morya Frey,Lady,0,,268.0,,,,,House Frey,Flement Brax,0,1,1,1,1,,,,1.0,1,1,37.0,0,0,0,0.120401337792642,1
1243,1244,1,1,0.9840000000000001,0.016,Mullin,Maester,0,,,,,,,Night's Watch,,0,1,1,1,1,,,,,0,1,,0,0,0,0.0234113712374581,1
1244,1245,1,1,0.8740000000000001,0.126,Moryn Tyrell,,1,,,,,,,House Tyrell,,1,1,1,1,1,,,,,0,0,,0,0,0,0.140468227424749,1
1245,1246,1,0,0.47200000000000003,0.528,Munda,,1,Free Folk,,,,,,,Longspear Ryk,0,0,1,1,1,,,,1.0,1,0,,0,0,0,0.0267558528428093,1
1246,1247,0,1,0.951,0.049,Muttering Bill,,1,,,300.0,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.020066889632107,0
1247,1248,1,0,0.33399999999999996,0.6659999999999999,Mushroom,,1,,,,,,,House Targaryen,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0468227424749163,1
1248,1249,0,0,0.11599999999999999,0.884,Murmison,Septon,1,,,41.0,,,,Faith of the Seven,,0,0,1,0,0,,,,,0,0,,0,0,0,0.31438127090301,0
1249,1250,1,1,0.7559999999999999,0.244,Mylenda Caron,,1,,258.0,,,,,House Caron,Petyr Frey,0,1,1,1,0,,,,0.0,1,0,47.0,0,0,0,0.107023411371237,1
1250,1251,1,0,0.135,0.865,Myles Smallwood,Hand of the King,1,,,,,,,House Smallwood,,0,0,1,0,0,,,,,0,1,,0,0,0,0.167224080267558,1
1251,1252,0,1,0.7020000000000001,0.298,Myles Mooton,Ser,1,,,283.0,,,,House Mooton,,0,0,1,1,0,,,,,0,1,,0,0,0,0.0267558528428093,0
1252,1253,1,1,0.988,0.012,Myria Jordayne,,1,Dornish,,,,,,House Jordayne,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0133779264214046,1
1253,1254,1,1,0.7240000000000001,0.276,Myles Manwoody,Ser,1,,,,,,,House Manwoody,,0,0,1,1,0,,,,,0,1,,0,0,0,0.0267558528428093,1
